Date,Change
7/14/16,11.32
7/15/16,-2.01
7/18/16,5.15
7/19/16,-3.11
7/20/16,9.24
7/21/16,-7.85
7/22/16,9.86
7/25/16,-6.55
7/26/16,0.7
7/27/16,-2.59
7/28/16,3.48
7/29/16,3.55
8/1/16,-2.77
8/2/16,-13.81
8/3/16,6.77
8/4/16,0.46
8/5/16,18.62
8/8/16,-1.98
8/9/16,0.85
8/10/16,-6.25
8/11/16,10.31
8/12/16,-1.74
8/15/16,6.1
8/16/16,-12
8/17/16,4.07
8/18/16,4.81
8/19/16,-3.16
8/22/16,-1.23
8/23/16,4.26
8/24/16,-11.46
8/25/16,-2.97
8/26/16,-3.43
8/29/16,11.34
8/30/16,-4.25
8/31/16,-5.18
9/1/16,-0.08
9/2/16,9.12
9/6/16,6.49
9/7/16,-0.32
9/8/16,-4.86
9/9/16,-53.49
9/12/16,31.23
9/13/16,-32.02
9/14/16,-1.25
9/15/16,21.49
9/16/16,-8.1
9/19/16,-0.05
9/20/16,0.64
9/21/16,23.36
9/22/16,14.06
9/23/16,-12.49
9/26/16,-18.6
9/27/16,13.83
9/28/16,11.44
9/29/16,-20.24
9/30/16,17.14
10/3/16,-7.08
10/4/16,-10.71
10/5/16,9.24
10/6/16,1.04
10/7/16,-7.03
10/10/16,9.92
10/11/16,-26.93
10/12/16,2.45
10/13/16,-6.63
10/14/16,0.43
10/17/16,-6.48
10/18/16,13.1
10/19/16,4.69
10/20/16,-2.95
10/21/16,-0.18
10/24/16,10.17
10/25/16,-8.17
10/26/16,-3.73
10/27/16,-6.39
